time,px,py,yaw,v,slip_angle,omega,accel,steer
51.2,6.130069154388935,116.66211213179935,-2.334320094388523,16.045296045429833,0.42585010473197904,-1.0764734962702542,-5.168628829023631,-0.4032715786497106
51.22,6.023755194358401,116.35932824791642,-2.355849564313928,16.0083513669323,0.4257441991749426,-1.0789130666204743,-5.158562465257728,-0.40340187294104835
51.24,5.911175598897951,116.05960689707922,-2.3774278256463375,15.971326802108075,0.425637928297217,-1.0813677661281489,-5.148472699962809,-0.4035309035415751
51.26,5.792399009471646,115.76308445020074,-2.3990551809689005,15.93422278768596,0.4255312631731161,-1.0838376058275239,-5.138359578910535,-0.4036586700470916
51.28,5.667497197396942,115.46989603441095,-2.420731933085451,15.89703976586806,0.4254241730493427,-1.0863226219909266,-5.128223147978496,-0.4037851720573583
51.300000000000004,5.536545049867068,115.18017545944136,-2.4424583855252697,15.859778184340737,0.4253166258591762,-1.088822877607654,-5.118063453150057,-0.40391040917609683
51.32,5.399620554298762,114.89405514381482,-2.464234843077423,15.82243849628523,0.42520858875834094,-1.091338463305677,-5.107880540514101,-0.4040343810109912
51.34,5.256804780982613,114.61166604087502,-2.486061612343536,15.785021160387997,0.4251000286710164,-1.0938694977006298,-5.097674456264827,-0.40415708717368914
51.36,5.108181864013745,114.33313756469093,-2.5079390022975487,15.747526640850726,0.42499091283431295,-1.0964161271688397,-5.087445246701582,-0.404278527279803
51.38,4.953838980481226,114.0585975158732,-2.5298673248409256,15.709955407400052,0.42488120932965184,-1.0989785250534498,-5.077192958228586,-0.40439870094891134
51.4,4.793866327895286,113.78817200734026,-2.5518468953419946,15.672307935296947,0.4247708875898448,-1.1015568903246833,-5.066917637354776,-0.40451760780456
51.42,4.6283570998322885,113.52198539007335,-2.573878033148488,15.634584705345794,0.4246599188712685,-1.1041514457267936,-5.056619330693568,-0.4046352474742628
51.44,4.457407459778318,113.26016017890073,-2.595961062063024,15.596786203903145,0.4245482766813446,-1.1067624354549412,-5.046298084962656,-0.40475161958950373
51.46,4.281116513153288,113.00281697835234,-2.6180963107721227,15.558912922886147,0.42443593715256156,-1.1093901224149572,-5.035953946983779,-0.4048667237857371
51.480000000000004,4.099586277498541,112.75007440862723,-2.640284113220422,15.520965359780655,0.42432287935547647,-1.112034785127461,-5.025586963682549,-0.4049805597023892
51.5,3.9129216508121107,112.50204903171675,-2.662524808922971,15.482944017648997,0.42420908554449066,-1.1146967143449413,-5.015197182088208,-0.4050931269828592
51.52,3.721230378016993,112.25885527772779,-2.68481874320987,15.44484940513742,0.42409454133167407,-1.1173762094560313,-5.0047846493334,-0.40520442527452066
51.54,3.5246230155490337,112.02060537145042,-2.7071662673989905,15.406682036483197,0.42397923578548247,-1.1200735747551924,-4.9943494126540156,-0.405314454228722
51.56,3.3232128940522987,111.7874092592155,-2.729567738894094,15.368442431521391,0.4238631614528388,-1.1227891156583243,-4.983891519388905,-0.4054232135007882
51.58,3.117116079171061,111.55937453608811,-2.752023521207261,15.330131115691282,0.4237463143046967,-1.125523134945353,-4.973411016979719,-0.40553070275002157
51.6,2.906451330428795,111.33660637344326,-2.774533983906168,15.29174862004245,0.4236286936068379,-1.1282759291096665,-4.962907952970669,-0.4056369216397029
51.620000000000005,2.6913400581858142,111.1192074469706,-2.7970995024883614,15.253295481240507,0.42351030171923787,-1.1310477848913638,-4.952382375008313,-0.4057418698370923
51.64,2.4719062786683925,110.90727786515552,-2.8197204581861888,15.214772241572483,0.42339114382883414,-1.1338389760667626,-4.941834330841348,-0.4058455470134308
51.660000000000004,2.2482765670633817,110.70091509828406,-2.842397237707524,15.176179448951858,0.42327122762191705,-1.1366497605605577,-4.931263868320382,-0.4059479528439406
51.68,2.020580008673452,110.50021390801959,-2.865130232918735,15.137517656923237,0.42315056290360276,-1.1394803779395999,-4.92067103539773,-0.40604908700782677
51.7,1.7889481481291616,110.30526627759943,-2.8879198404775273,15.098787424666664,0.42302916117291983,-1.1423310473386215,-4.910055880127168,-0.40614894918827793
51.72,1.5535149366550702,110.11616134269967,-2.9107664614243,15.059989317001586,0.42290703516292066,-1.145201965858575,-4.899418450663774,-0.40624753907246713
51.74,1.3144166773880794,109.93298532301715,-2.933670500741471,15.021123904390437,0.4227841983558981,-1.1480933074678095,-4.888758795263637,-0.4063448563515533
51.76,1.07179196874709,109.7558214546175,-2.9566323668908274,14.982191762941872,0.42266066448423684,-1.1510052224252558,-4.878076962283682,-0.40644090072068184
51.78,0.8257816458539342,109.58474992309866,-2.9796524713393326,14.943193474413613,0.422536447027647,-1.1539378372334654,-4.867373000181451,-0.40653567187898526
51.800000000000004,0.5765287200063696,109.41984779761957,-3.002731228084002,14.904129626214944,0.422411558717511,-1.1568912551178898,-4.856646957514863,-0.40662916952958506
51.82,0.3241783162047163,109.26118896584451,-3.02586905318636,14.865000811408812,0.42228601105883085,-1.1598655570175371,-4.845898882942014,-0.4067213933795918
51.84,0.06887760873450222,109.10884406985345,-3.049066364326711,14.825807628713564,0.4221598138797899,-1.1628608030612753,-4.835128825220935,-0.40681234314010634
51.86,-0.18922424519175052,108.96288044306999,-3.0723235803879363,14.786550682504295,0.42203297491826414,-1.165877034493846,-4.824336833209397,-0.4069020185262209
51.88,-0.4499761737296759,108.82336204825874,-3.095641121077813,14.747230582813817,0.4219054994537375,-1.1689142760063027,-4.813522955864656,-0.4069904192570195
51.9,-0.7132252606304321,108.69034941664476,-3.119019406597939,14.70784794533325,0.42177738999202535,-1.1719725384172839,-4.802687242243262,-0.4070775450555795
51.92,-0.9788168173947263,108.5638995882085,3.140726449813302,14.668403391412205,0.42164864600900503,-1.1750518216444696,-4.791829741500822,-0.4071633956489718
51.94,-1.2465944573470416,108.44406605321052,3.117225413380412,14.628897548058607,0.4215192637582273,-1.1781521178998724,-4.780950502891781,-0.40724797076826214
51.96,-1.5164001716226627,108.33089869500118,3.0936623710224147,14.589331047938089,0.42138923614586066,-1.1812734150384034,-4.7700495757691925,-0.4073312701485116
51.980000000000004,-1.7880744070590548,108.22444373417139,3.0700369027216468,14.549704529373024,0.4212585526749397,-1.1844156999865096,-4.7591270095845,-0.407413293528778
52.0,-2.0614561459820377,108.12474367410147,3.0463485887219166,14.510018636341137,0.421127199459377,-1.187578962176635,-4.748182853887312,-0.40749404065211575
52.02,-2.336382987875966,108.03183724796631,3.0225970094783836,14.470274018473726,0.4209951593066898,-1.1907631969138461,-4.737217158325177,-0.40757351126557795
52.04,-2.6126912329258034,107.94575936725589,2.998781745540107,14.430471331053477,0.4208624118669244,-1.1939684086031255,-4.726229972643361,-0.4076517051202158
52.06,-2.8902159674175354,107.86654107187125,2.9749023773680445,14.390611235011878,0.42072893384385696,-1.1971946137695406,-4.715221346684608,-0.4077286219710807
52.08,-3.1687911509817983,107.79420948185715,2.950958485092654,14.350694396926222,0.42059469926324605,-1.2004418438086297,-4.704191330388933,-0.4078042615772238
52.1,-3.448249705663933,107.72878775083332,2.926949648216482,14.3107214890162,0.42045967979173554,-1.203710147410791,-4.693139973793387,-0.4078786237016977
52.120000000000005,-3.728423606801869,107.67029502118734,2.9028754452682666,14.270693189140081,0.42032384509897686,-1.2069995926110608,-4.68206732703183,-0.4079517081115566
52.14,-4.009143975691335,107.618746381093,2.878735453416045,14.230610180790485,0.4201871632546841,-1.210310268424248,-4.6709734403347,-0.40802351457785746
52.160000000000004,-4.290241174015871,107.57415282341854,2.8545292480475606,14.190473153089728,0.420049601151667,-1.2136422860347595,-4.659858364028795,-0.40809404287566026
52.18,-4.571544900017004,107.53652120659002,2.8302564023268655,14.150282800784755,0.41991112494541954,-1.2169957795203843,-4.648722148537035,-0.40816329278402924
52.2,-4.852884286377723,107.50585421747549,2.805916486736457,14.110039824241651,0.41977170050058293,-1.2203709060995866,-4.637564844378225,-0.408231264086033
52.22,-5.134087999790107,107.48215033635617,2.781509068614465,14.069744929439732,0.4196312938345581,-1.2237678459022705,-4.626386502166867,-0.40829795656874573
52.24,-5.414984342175603,107.46540380405102,2.757033711696419,14.0293988279652,0.41948987154870726,-1.227186801274264,-4.615187172612869,-0.40836337002324746
52.26,-5.695401353524015,107.45560459126122,2.7324899756709335,13.989002237004382,0.4193474012379571,-1.2306279956357533,-4.603966906521364,-0.4084275042446251
52.28,-5.975166916314826,107.45273837020139,2.707877415758219,13.94855587933653,0.41920385187018394,-1.2340916719233035,-4.592725754792461,-0.4084903590319725
52.300000000000004,-6.254108861481985,107.45678648858387,2.683195582319753,13.9080604833262,0.4190591941275092,-1.237578090653781,-4.581463768421013,-0.40855193418839186
52.32,-6.532055075880769,107.46772594602257,2.6584440205066766,13.867516782915187,0.4189134007025463,-1.2410875276562496,-4.57018099849639,-0.40861222952099374
52.34,-6.808833611212868,107.48552937292207,2.633622269953552,13.826925517614033,0.41876644654369255,-1.244620271524561,-4.558877496202242,-0.40867124484089773
