timestamp,px,py,yaw,v,vx,vy,v_dotomega,a,ax,ay,slip_angle,accel,jerk,steer,steer_vel
1730297408317775018,13.622264862060547,10.905220031738281,2.4409523010253906,5.679583333333333,0.0,0.0,7.728166666666667,0.5192834734916687,6.956050284005817,0.0,0.0,-0.03246989753597703,10.0,0.0,0.1637666124217489
1730297408337806602,13.536110877990723,10.978815078735352,2.4567885398864746,5.600625,0.0,0.0,7.7597499999999995,0.6821168065071106,5.676273274067203,0.0,0.0,-0.029131711237939856,10.0,0.0,0.140172862847748
1730297408356795626,13.439379692077637,11.087637901306152,2.460397243499756,5.344375,0.0,0.0,7.8622499999999995,0.8165529370307922,6.753916824263729,0.0,0.0,-0.030845016216354656,10.0,0.0,0.11440634879209398
1730297408379881834,13.31428337097168,11.206782341003418,2.489138603210449,5.240833333333334,0.0,0.0,7.903666666666666,1.138548731803894,7.4556770969062,0.0,0.0,-0.03295294782021486,10.0,0.0,0.14103184652860556
1730297408399426762,13.281923294067383,11.2605619430542,2.524152994155884,5.240833333333334,0.0,0.0,7.903666666666666,1.138548731803894,7.4556770969062,0.0,0.0,-0.04383272666210454,10.0,0.0,0.08991717748626596
1730297408418188362,13.1524076461792,11.369415283203125,2.5456528663635254,5.1745833333333335,0.0,0.0,6.995900796789733,0.6842119097709656,7.055491998580652,0.0,0.0,-0.05298991934390675,8.821883689022592,0.0,0.08140580834048564
1730297408439164746,13.056427001953125,11.439809799194336,2.578287363052368,4.9575,0.0,0.0,8.017,0.6503289937973022,10.400411918710319,0.0,0.0,-0.04930454968266194,10.0,0.0,0.12254099308955449
1730297408459323690,12.884164810180664,11.59300708770752,2.578073501586914,4.829583333333333,0.0,0.0,8.068166666666666,0.7165022492408752,9.108353205276709,0.0,0.0,-0.04701938505672776,10.0,0.0,0.09411123220948045
1730297408479575978,12.88379192352295,11.577961921691895,2.5722384452819824,4.676875,0.0,0.0,8.12925,0.8337411284446716,4.749097128911656,0.0,0.0,-0.047379467014063134,10.0,0.0,0.07599122903918427
1730297408497468106,12.750770568847656,11.68869400024414,2.6027467250823975,4.676875,0.0,0.0,8.12925,1.0365980863571167,6.454462906675938,0.0,0.0,-0.04723386828736448,10.0,0.0,0.10626503054636972
1730297408517801194,12.728721618652344,11.693666458129883,2.6277308464050293,4.439166666666667,0.0,0.0,8.224333333333334,1.1388534307479858,5.828023693113094,0.0,0.0,-0.05413019660733689,10.0,0.0,0.06710273889167662
1730297408537997322,12.620055198669434,11.761320114135742,2.6392099857330322,4.364791666666667,0.0,0.0,8.254083333333334,0.7286383509635925,8.913396824238568,0.0,0.0,-0.06063896394132596,10.0,0.0,0.0707583705743977
1730297408557811530,12.43533706665039,11.901490211486816,2.683347463607788,4.196666666666666,0.0,0.0,8.321333333333333,0.5913495421409607,6.935501049111235,0.0,0.0,-0.05760948175474092,10.0,0.0,0.0703374892162253
1730297408580404874,12.388823509216309,11.953255653381348,2.6854231357574463,4.034166666666667,0.0,0.0,7.375724684952527,0.800564169883728,10.638209286021766,0.0,0.0,-0.05080233206976,8.794933842703438,0.0,0.07230307286508336
1730297408598539178,12.314971923828125,11.9900484085083,2.706313133239746,4.034166666666667,0.0,0.0,6.390555997842028,0.800564169883728,10.638209286021766,0.0,0.0,-0.05094696380707648,7.620202708186368,0.0,0.056995144362703615
1730297408617186826,12.25479507446289,12.012701988220215,2.7057197093963623,3.798125,0.0,0.0,5.448923510762095,0.7287638783454895,6.779514239736141,0.0,0.0,-0.05102384553673469,6.425049094433976,0.0,0.057663404947923734
1730297408638841482,12.179354667663574,12.081633567810059,2.727356433868408,3.798125,0.0,0.0,4.458842169412312,0.7287638783454895,6.779514239736141,0.0,0.0,-0.05315696511141487,5.257603595687071,0.0,0.012862815938232013
1730297408658132970,12.111625671386719,12.11405086517334,2.7411816120147705,3.6827083333333333,0.0,0.0,3.4787649525793625,0.6800541281700134,7.5295568851061185,0.0,0.0,-0.05672223304267912,4.079745456148896,0.0,-0.00953277646915563
