time,.x,.y,.phi,.vx,.vy,.omega,.steer,.throttle
2024/08/01/14:41:31.507069,12.656231568442218,-0.6719323457038289,2.0081363216286494,10.649011813454178,-5.5315953753789096,1.6200502676075645,0.33999999999999997,4.45833683013916
2024/08/01/14:41:31.531990,12.66875106118959,-0.3721936890354764,2.0486375783188384,10.632868814249575,-5.562562429219005,1.691962433420037,0.41,4.44769287109375
2024/08/01/14:41:31.556998,12.66999686349005,-0.07219627575224791,2.0909366391543394,10.608586280933327,-5.60873400331957,1.7190884611283093,0.33999999999999997,4.435622692108154
2024/08/01/14:41:31.582052,12.659859071928562,0.22763238395568564,2.1339138506825472,10.579201234555315,-5.6639651516215475,1.7732958764287976,0.41,4.422017574310303
2024/08/01/14:41:31.606994,12.63840854941155,0.526864526419939,2.1782462475932673,10.544010793291081,-5.729209054569504,1.7776109475712452,0.33999999999999997,4.4068450927734375
2024/08/01/14:41:31.632032,12.605559219558387,0.8250606389502639,2.2226865212825486,10.506954648769817,-5.796887441437373,1.8087103484266809,0.41,4.390037536621094
2024/08/01/14:41:31.657020,12.561401810418408,1.1217930490743426,2.267904279993216,10.467186339729459,-5.868390761476355,1.7866119791359671,0.33999999999999997,4.371530532836914
2024/08/01/14:41:31.682108,12.505885362098974,1.4166115084116024,2.312569579471615,10.429472907363909,-5.935157527358662,1.7940589943618395,0.41,4.351259708404541
2024/08/01/14:41:31.707026,12.439128112721844,1.7090896608531134,2.357421054330661,10.39237580396098,-5.999877094511716,1.7471097920352405,0.33999999999999997,4.329150199890137
2024/08/01/14:41:31.732027,12.361123600758553,1.9987710308329045,2.401098799131542,10.361219974479104,-6.053521342198707,1.7345324479534008,0.41,4.305154800415039
2024/08/01/14:41:31.756987,12.272024588254087,2.2852345816918733,2.444462110330377,10.333618869424022,-6.100518097791676,1.6683582705326474,0.33999999999999997,4.279210090637207
2024/08/01/14:41:31.781991,12.171874574483152,2.5680242115259277,2.486171067093693,10.31505452392515,-6.131855361018498,1.6423408680367324,0.41,4.2512431144714355
2024/08/01/14:41:31.806991,12.060865657126566,2.8467301861072394,2.5272295887946115,10.302001284183682,-6.153760601508459,1.565218105503717,0.33999999999999997,4.221190929412842
2024/08/01/14:41:31.831994,11.939092589544135,3.1209040725580914,2.5663600414322043,10.299668010687768,-6.157665050131834,1.5340585124380581,0.41,4.18901252746582
2024/08/01/14:41:31.857009,11.806788976159828,3.390154427962603,2.6047115042431557,10.303407165249652,-6.151406407243965,1.4555939548334202,0.33999999999999997,4.154636859893799
2024/08/01/14:41:31.882001,11.66409868235751,3.654047360900581,2.6411013531139913,10.317795767093006,-6.127241672119489,1.4281977018682481,0.41,4.1179938316345215
2024/08/01/14:41:31.907015,11.51129646511294,3.912216844777245,2.6768062956606977,10.337294758748776,-6.09428724878842,1.3581440553708168,0.33999999999999997,4.079064846038818
2024/08/01/14:41:31.931998,11.3485706260761,4.164249186570429,2.710759897044968,10.365637519519971,-6.045953920922642,1.3429625583220282,0.41,4.03776216506958
2024/08/01/14:41:31.957031,11.176234363431432,4.409810202567813,2.7443339610030186,10.396803604746456,-5.9922011652089155,1.2900065963052616,0.33999999999999997,3.994077682495117
2024/08/01/14:41:31.982009,10.99451390102035,4.648510168091696,2.77658412591065,10.433654481184044,-5.9278034858848105,1.2938518037858302,0.41,3.947901964187622
2024/08/01/14:41:32.007109,10.803755893159192,4.880051487162057,2.8089304210052957,10.470206489168966,-5.863000603288737,1.2642244192675913,0.33999999999999997,3.8992197513580322
2024/08/01/14:41:32.031998,10.604216718344576,5.104069606327232,2.8405360314869856,10.508594468024976,-5.793914247431945,1.2909213816691643,0.41,3.847975254058838
2024/08/01/14:41:32.057076,10.396269456559596,5.32030544127632,2.8728090660287147,10.543389756785771,-5.730351859746909,1.2869156509044337,0.33999999999999997,3.794188976287842
2024/08/01/14:41:32.082102,10.180192466048824,5.528417752713698,2.9049819573013256,10.576265143701283,-5.66944579391401,1.3360632674705781,0.41,3.7377381324768066
2024/08/01/14:41:32.107113,9.956376967485898,5.728184172822356,2.93838353898809,10.602741756976096,-5.619774660506901,1.3549269505012544,0.33999999999999997,3.678619861602783
2024/08/01/14:41:32.132089,9.725116131879153,5.9192821213055105,2.9722567127506214,10.624340418863707,-5.578834167108658,1.4213634958064851,0.41,3.6168155670166016
2024/08/01/14:41:32.157067,9.48681136711125,6.101520534075471,3.0077908001457834,10.637710537589058,-5.553297625597491,1.4552857107432733,0.33999999999999997,3.552321195602417
2024/08/01/14:41:32.182073,9.241766292181252,6.274589627944225,3.0441729429143654,10.644522439612349,-5.5402294205735885,1.5298659455652737,0.41,3.485051393508911
2024/08/01/14:41:32.207074,8.990386874832431,6.438322301938658,3.082419591553497,10.642496286315282,-5.544120561077783,1.567533375573076,0.33999999999999997,3.4150094985961914
2024/08/01/14:41:32.232075,8.732986913407318,6.592417272195155,3.121607925942824,10.633725945252007,-5.560923711153957,1.6392842588190382,0.41,3.3421785831451416
2024/08/01/14:41:32.257131,8.469975004178593,6.73672505301054,-3.120595274766286,10.616757766004785,-5.593250802348943,1.6686940885670734,0.33999999999999997,3.266587972640991
2024/08/01/14:41:32.282084,8.201678693742185,6.8709528064977015,-3.0788779225521092,10.594342133188723,-5.635593559239544,1.7276095478328692,0.41,3.188157320022583
2024/08/01/14:41:32.307145,7.92851075488648,6.994966020234488,-3.0356876838562874,10.565490166505938,-5.689500640782662,1.7390564899761498,0.33999999999999997,3.1069140434265137
2024/08/01/14:41:32.332103,7.650817863388127,7.108485437125538,-2.992211271606884,10.53375626868333,-5.748041307434614,1.778405184865516,0.41,3.0229132175445557
2024/08/01/14:41:32.357111,7.369020217826654,7.2113935852772295,-2.947751141985246,10.498195487003176,-5.812735286994079,1.7664939757840432,0.33999999999999997,2.9361166954040527
2024/08/01/14:41:32.382072,7.083488058818316,7.303433718762775,-2.9035887925906447,10.463165849986282,-5.875556177561477,1.783889336317192,0.41,2.846534252166748
2024/08/01/14:41:32.407172,6.794651688545923,7.384511158336737,-2.858991559182715,10.427338815605292,-5.9389060629522685,1.7480866540514692,0.33999999999999997,2.754164695739746
2024/08/01/14:41:32.432150,6.5029063872697295,7.454401638255415,-2.815289392831428,10.39569736432181,-5.994120144727879,1.7453135189671747,0.41,2.659093141555786
2024/08/01/14:41:32.457123,6.208693080931899,7.5130406216518,-2.7716565548572487,10.36615995639153,-6.045058126974855,1.689320507142716,0.33999999999999997,2.5612804889678955
2024/08/01/14:41:32.482149,5.912430079180664,7.560244793007182,-2.7294235421786808,10.344009416826717,-6.082883295329625,1.6714113330772378,0.41,2.4608116149902344
2024/08/01/14:41:32.507104,5.614566838892789,7.595986786309281,-2.68763825885175,10.32616929245852,-6.1131193136962985,1.601970523240826,0.33999999999999997,2.3576486110687256
2024/08/01/14:41:32.532087,5.315539894419414,7.6201298283487,-2.6475889957707293,10.317831169748914,-6.127182056423475,1.5760561480286313,0.41,2.251957416534424
2024/08/01/14:41:32.557063,5.015802909336302,7.632689277910128,-2.6081875920700135,10.314860851910257,-6.1321811458672055,1.5016787043344533,0.33999999999999997,2.1437623500823975
2024/08/01/14:41:32.582093,4.715804223794197,7.63357735054739,-2.570645624461652,10.32199603001086,-6.12016322955851,1.4758922425241892,0.41,2.0330405235290527
2024/08/01/14:41:32.607147,4.415995874422024,7.622855706702659,-2.533748318398547,10.334179773181166,-6.099567887610831,1.4056832929081842,0.33999999999999997,1.919874668121338
2024/08/01/14:41:32.632015,4.116831107654055,7.600485138433917,-2.4986062360758425,10.355441399679178,-6.063401142742459,1.3881333443756425,0.41,1.804291844367981
2024/08/01/14:41:32.657021,3.8187537697622886,7.56657495360166,-2.4639029024664514,10.380116902521934,-6.021060794409775,1.3306505899214716,0.33999999999999997,1.6865160465240479
2024/08/01/14:41:32.682018,3.522215574403341,7.521131596625544,-2.4306366377184148,10.411429870093583,-5.966751885249052,1.3283462504681103,0.41,1.5665414333343506
2024/08/01/14:41:32.707041,3.2276457145673265,7.464310846224034,-2.397427981456712,10.443552884811215,-5.91034712535155,1.2903580992955426,0.33999999999999997,1.4444050788879395
2024/08/01/14:41:32.732101,2.935489230917124,7.396159624216289,-2.3651690289743232,10.478972554302361,-5.847318548375644,1.3080092268639643,0.41,1.3203037977218628
2024/08/01/14:41:32.757107,2.6461552776836097,7.316876186435965,-2.332468798302724,10.512182896697182,-5.7874010355588155,1.2931486078965744,0.33999999999999997,1.194227933883667
2024/08/01/14:41:32.782110,2.360079171692351,7.226540913253902,-2.3001400831053096,10.545135365752488,-5.727138912053396,1.3319758927875072,0.41,1.0662935972213745
2024/08/01/14:41:32.807199,2.077646794755735,7.125387799322923,-2.266840685785622,10.573062333253823,-5.6754165395263465,1.3395753512245463,0.33999999999999997,0.9367164969444275
2024/08/01/14:41:32.832120,1.7992833194704314,7.013522810934741,-2.233351302005008,10.59765375222199,-5.629363636150641,1.3965536899541489,0.41,0.8055474162101746
2024/08/01/14:41:32.857265,1.5253510710115237,6.891207140416825,-2.1984374597561542,10.615130667196654,-5.59633817047729,1.4212258870246088,0.33999999999999997,0.6728681325912476
2024/08/01/14:41:32.882199,1.2562671118756992,6.758565431532365,-2.162906812580539,10.627208217056396,-5.5733693140979845,1.4893149810733124,0.41,0.5388568043708801
2024/08/01/14:41:32.907162,0.9923727910403849,6.615877704551843,-2.125673938053706,10.631132844280744,-5.5658794855130695,1.5218097898568674,0.33999999999999997,0.4036182463169098
2024/08/01/14:41:32.932270,0.7340802736348389,6.463283551805724,-2.0876286933072845,10.628912646254655,-5.570118127857603,1.5914406552981362,0.41,0.2672913372516632
